position=< 10253, -50152> velocity=<-1,  5>
position=< 20314,  40332> velocity=<-2, -4>
position=<-19881, -30049> velocity=< 2,  3>
position=<-29940,  10166> velocity=< 3, -1>
position=<-40022, -40103> velocity=< 4,  4>
position=< 30403,  20217> velocity=<-3, -2>
position=< 20330,  10172> velocity=<-2, -1>
position=< 30397, -40102> velocity=<-3,  4>
position=< 10305, -50152> velocity=<-1,  5>
position=< 20347,  10167> velocity=<-2, -1>
position=< 30389,  50381> velocity=<-3, -5>
position=< 50485, -40103> velocity=<-5,  4>
position=< -9840,  40325> velocity=< 1, -4>
position=<-29951,  20217> velocity=< 3, -2>
position=< 40441, -30053> velocity=<-4,  3>
position=<-19906,  20217> velocity=< 2, -2>
position=< 40443, -50153> velocity=<-4,  5>
position=< 40446, -19991> velocity=<-4,  2>
position=< 30378,  40325> velocity=<-3, -4>
position=< 20359,  20226> velocity=<-2, -2>
position=<-50072, -30046> velocity=< 5,  3>
position=< 30370,  30271> velocity=<-3, -3>
position=< -9854,  20226> velocity=< 1, -2>
position=<-29948,  10168> velocity=< 3, -1>
position=<-19886,  50388> velocity=< 2, -5>
position=<-50062,  20222> velocity=< 5, -2>
position=<-29921,  30271> velocity=< 3, -3>
position=<-29929,  30276> velocity=< 3, -3>
position=< 30408, -30051> velocity=<-3,  3>
position=< 40422, -40099> velocity=<-4,  4>
position=<-50047,  -9940> velocity=< 5,  1>
position=< 30392, -19995> velocity=<-3,  2>
position=<-39967, -40098> velocity=< 4,  4>
position=< 30371,  30275> velocity=<-3, -3>
position=<-19902, -30045> velocity=< 2,  3>
position=< 30388,  50380> velocity=<-3, -5>
position=< 30352,  10169> velocity=<-3, -1>
position=<-29940,  40333> velocity=< 3, -4>
position=<-50069,  30280> velocity=< 5, -3>
position=<-39978,  10168> velocity=< 4, -1>
position=<-39968,  -9941> velocity=< 4,  1>
position=<-19918, -40102> velocity=< 2,  4>
position=< 10289, -50156> velocity=<-1,  5>
position=< 40419, -50161> velocity=<-4,  5>
position=<-50059, -40106> velocity=< 5,  4>
position=< 10281, -50157> velocity=<-1,  5>
position=< 40454,  50386> velocity=<-4, -5>
position=< 20298, -30044> velocity=<-2,  3>
position=< -9839,  -9945> velocity=< 1,  1>
position=<-19858,  30271> velocity=< 2, -3>
position=<-50040,  40334> velocity=< 5, -4>
position=< -9819,  -9936> velocity=< 1,  1>
position=< 10292, -30049> velocity=<-1,  3>
position=< 30409,  30271> velocity=<-3, -3>
position=< 40443,  30276> velocity=<-4, -3>
position=<-19918, -50157> velocity=< 2,  5>
position=< 10289,  30273> velocity=<-1, -3>
position=<-29914,  50388> velocity=< 3, -5>
position=< 20349,  50383> velocity=<-2, -5>
position=<-39969, -50161> velocity=< 4,  5>
position=< 50484, -40101> velocity=<-5,  4>
position=<-29931,  40330> velocity=< 3, -4>
position=< 50486, -50152> velocity=<-5,  5>
position=< 50508,  40327> velocity=<-5, -4>
position=< 30393, -50160> velocity=<-3,  5>
position=< 50464, -19990> velocity=<-5,  2>
position=< 30392,  50381> velocity=<-3, -5>
position=<-29915, -30044> velocity=< 3,  3>
position=< 50496,  30276> velocity=<-5, -3>
position=< 30370,  30280> velocity=<-3, -3>
position=< 40417,  10163> velocity=<-4, -1>
position=< 10264,  30271> velocity=<-1, -3>
position=< 30364,  40329> velocity=<-3, -4>
position=< -9819, -40099> velocity=< 1,  4>
position=< -9837, -50157> velocity=< 1,  5>
position=< 50496, -40102> velocity=<-5,  4>
position=<-39989,  10172> velocity=< 4, -1>
position=< 20330, -40098> velocity=<-2,  4>
position=<-50048,  20220> velocity=< 5, -2>
position=< 10246,  30275> velocity=<-1, -3>
position=< 10304,  20226> velocity=<-1, -2>
position=<-40023,  10172> velocity=< 4, -1>
position=<-19858, -50157> velocity=< 2,  5>
position=< 30400,  50380> velocity=<-3, -5>
position=<-40006,  50382> velocity=< 4, -5>
position=< 50497,  50382> velocity=<-5, -5>
position=< 30400,  20226> velocity=<-3, -2>
position=< -9861, -19999> velocity=< 1,  2>
position=<-29916,  10165> velocity=< 3, -1>
position=< 40409,  20221> velocity=<-4, -2>
position=<-40015,  30280> velocity=< 4, -3>
position=< 50494, -19999> velocity=<-5,  2>
position=< 10268,  40326> velocity=<-1, -4>
position=< -9821,  20217> velocity=< 1, -2>
position=<-29940, -30047> velocity=< 3,  3>
position=<-19870,  20221> velocity=< 2, -2>
position=< 20346,  20220> velocity=<-2, -2>
position=< 40456, -40103> velocity=<-4,  4>
position=<-19893,  10172> velocity=< 2, -1>
position=<-29960, -19993> velocity=< 3,  2>
position=<-50036,  30276> velocity=< 5, -3>
position=< -9840, -30046> velocity=< 1,  3>
position=<-19906,  20220> velocity=< 2, -2>
position=<-19860,  20217> velocity=< 2, -2>
position=<-29916, -40106> velocity=< 3,  4>
position=<-50061,  -9936> velocity=< 5,  1>
position=<-29972,  30277> velocity=< 3, -3>
position=<-50048, -40104> velocity=< 5,  4>
position=< 20354,  20224> velocity=<-2, -2>
position=<-19866,  50383> velocity=< 2, -5>
position=< -9855,  20226> velocity=< 1, -2>
position=<-40023, -50152> velocity=< 4,  5>
position=< 10245, -50161> velocity=<-1,  5>
position=<-39997, -19999> velocity=< 4,  2>
